,State Name,Dist Name,Annual Rainfall(mm),NITROGEN SHARE IN NPK (Percent),PHOSPHATE SHARE IN NPK (Percent),POTASH SHARE IN NPK (Percent),Avg Max Temp,Avg Min Temp,Latitude,Longitude,best_crop,Soil_type
440,Maharashtra,Buldhana,901.0,49.9,35.5,14.6,33.72,21.6,20.5,76.2,SUGARCANE,VERTIC SOILS 
441,Maharashtra,Buldhana,901.0,51.5,38.2,10.4,33.57,21.85,20.5,76.2,SUGARCANE,VERTIC SOILS 
442,Maharashtra,Akola,878.0,49.2,38.3,12.5,33.95,21.19,20.7,77.0,SUGARCANE,VERTIC SOILS 
443,Maharashtra,Akola,878.0,51.6,35.9,12.5,34.09,21.33,20.7,77.0,GROUNDNUT,VERTIC SOILS 
444,Maharashtra,Akola,878.0,50.9,41.0,8.1,33.69,20.93,20.7,77.0,MAIZE,VERTIC SOILS 
445,Maharashtra,Akola,878.0,49.8,33.3,17.0,34.67,21.91,20.7,77.0,SUGARCANE,VERTIC SOILS 
446,Maharashtra,Akola,878.0,45.1,40.4,14.4,34.48,22.18,20.7,77.0,SUGARCANE,VERTIC SOILS 
447,Maharashtra,Amarawati,976.0,46.8,38.8,14.4,32.78,20.51,20.9,77.8,SUGARCANE,VERTIC SOILS 
448,Maharashtra,Amarawati,976.0,52.7,35.0,12.3,32.8,20.53,20.9,77.8,SUGARCANE,VERTIC SOILS 
449,Maharashtra,Amarawati,976.0,52.2,33.9,13.9,32.34,20.08,20.9,77.8,SUGARCANE,VERTIC SOILS 
450,Maharashtra,Amarawati,976.0,49.6,31.4,18.9,33.39,21.13,20.9,77.8,SUGARCANE,VERTIC SOILS 
451,Maharashtra,Amarawati,976.0,47.7,36.4,15.9,33.12,21.38,20.9,77.8,SUGARCANE,VERTIC SOILS 
452,Maharashtra,Yeotmal,1133.0,54.2,33.6,12.2,33.34,21.19,20.4,78.1,SUGARCANE,VERTIC SOILS 
453,Maharashtra,Yeotmal,1133.0,53.8,32.5,13.8,33.65,21.5,20.4,78.1,SUGARCANE,VERTIC SOILS 
454,Maharashtra,Yeotmal,1133.0,59.8,28.5,11.7,33.31,21.16,20.4,78.1,SUGARCANE,VERTIC SOILS 
455,Maharashtra,Yeotmal,1133.0,55.1,28.5,16.4,34.14,21.98,20.4,78.1,SUGARCANE,VERTIC SOILS 
456,Maharashtra,Yeotmal,1133.0,55.7,30.7,13.6,33.95,22.32,20.4,78.1,SUGARCANE,VERTIC SOILS 
457,Maharashtra,Wardha,1144.0,47.3,39.6,13.1,33.24,21.0,20.9,78.4,SUGARCANE,VERTIC SOILS 
458,Maharashtra,Wardha,1144.0,52.7,31.6,15.7,33.39,21.15,20.9,78.4,SUGARCANE,VERTIC SOILS 
459,Maharashtra,Wardha,1144.0,53.7,30.0,16.3,32.97,20.72,20.9,78.4,SUGARCANE,VERTIC SOILS 
460,Maharashtra,Wardha,1144.0,49.9,27.5,22.5,33.9,21.65,20.9,78.4,SUGARCANE,VERTIC SOILS 
461,Maharashtra,Wardha,1144.0,48.4,34.9,16.7,33.54,21.95,20.9,78.4,SUGARCANE,VERTIC SOILS 
462,Maharashtra,Nagpur,1242.0,50.6,38.5,10.9,32.81,20.39,21.2,79.1,SUGARCANE,VERTIC SOILS 
463,Maharashtra,Nagpur,1242.0,58.3,31.9,9.8,32.93,20.52,21.2,79.1,SUGARCANE,VERTIC SOILS 
464,Maharashtra,Nagpur,1242.0,61.9,29.1,9.0,32.49,20.08,21.2,79.1,SUGARCANE,VERTIC SOILS 
465,Maharashtra,Nagpur,1242.0,57.5,29.9,12.6,33.4,20.98,21.2,79.1,SUGARCANE,VERTIC SOILS 
466,Maharashtra,Nagpur,1242.0,56.3,33.9,9.8,32.97,21.27,21.2,79.1,SUGARCANE,VERTIC SOILS 
467,Maharashtra,Bhandara,1349.0,60.2,35.1,4.7,32.71,20.62,20.0,79.3,SUGARCANE,VERTIC SOILS 
468,Maharashtra,Bhandara,1349.0,59.6,33.7,6.7,32.91,20.81,20.0,79.3,SUGARCANE,VERTIC SOILS 
469,Maharashtra,Bhandara,1349.0,65.4,29.1,5.5,32.51,20.42,20.0,79.3,SUGARCANE,VERTIC SOILS 
470,Maharashtra,Bhandara,1349.0,61.0,33.1,5.8,33.32,21.22,20.0,79.3,SUGARCANE,VERTIC SOILS 
471,Maharashtra,Bhandara,1349.0,65.3,31.5,3.1,32.92,21.55,20.0,79.3,SUGARCANE,VERTIC SOILS 
472,Maharashtra,Chandrapur,1474.0,58.2,36.5,5.3,33.22,20.93,19.4,80.0,MAIZE,VERTIC SOILS 
473,Maharashtra,Chandrapur,1474.0,59.9,30.8,9.3,33.47,21.17,19.4,80.0,GROUNDNUT,VERTIC SOILS 
474,Maharashtra,Chandrapur,1474.0,65.1,29.5,5.4,33.15,20.86,19.4,80.0,MAIZE,VERTIC SOILS 
475,Maharashtra,Chandrapur,1474.0,59.4,31.0,9.6,33.89,21.6,19.4,80.0,SUGARCANE,VERTIC SOILS 
476,Maharashtra,Chandrapur,1474.0,61.8,30.9,7.3,33.58,21.98,19.4,80.0,SUGARCANE,VERTIC SOILS 
477,Gujarat,Ahmedabad,823.0,73.9,20.9,5.1,34.53,20.88,23.1,72.6,RICE,USTALF/USTOLLS 
478,Gujarat,Ahmedabad,823.0,84.3,14.7,1.1,34.14,20.49,23.1,72.6,WHEAT,USTALF/USTOLLS 
480,Gujarat,Ahmedabad,823.0,79.8,18.5,1.7,35.32,21.68,23.1,72.6,GROUNDNUT,USTALF/USTOLLS 
481,Gujarat,Ahmedabad,823.0,78.2,19.4,2.3,34.89,21.6,23.1,72.6,GROUNDNUT,USTALF/USTOLLS 
482,Gujarat,Amreli,607.0,62.3,33.6,4.1,32.66,21.99,21.5,71.1,WHEAT,ORTHIDS 
483,Gujarat,Amreli,607.0,67.1,30.5,2.4,32.46,21.79,21.5,71.1,WHEAT,ORTHIDS 
484,Gujarat,Amreli,607.0,71.0,26.0,3.0,32.31,21.65,21.5,71.1,WHEAT,ORTHIDS 
485,Gujarat,Amreli,607.0,65.8,30.4,3.8,33.31,22.64,21.5,71.1,SUGARCANE,ORTHIDS 
486,Gujarat,Amreli,607.0,66.0,30.4,3.6,33.36,22.67,21.5,71.1,SUGARCANE,ORTHIDS 
487,Gujarat,Banaskantha,652.0,71.9,22.6,5.5,34.58,20.36,24.3,71.9,WHEAT,USTALF/USTOLLS 
488,Gujarat,Banaskantha,652.0,78.6,17.0,4.4,34.21,19.99,24.3,71.9,WHEAT,USTALF/USTOLLS 
489,Gujarat,Banaskantha,652.0,73.6,20.7,5.7,34.07,19.86,24.3,71.9,WHEAT,USTALF/USTOLLS 
490,Gujarat,Banaskantha,652.0,72.9,18.9,8.2,35.42,21.2,24.3,71.9,WHEAT,USTALF/USTOLLS 
491,Gujarat,Banaskantha,652.0,73.8,19.2,7.0,34.76,21.11,24.3,71.9,WHEAT,USTALF/USTOLLS 
497,Gujarat,Bhavnagar,602.0,62.5,32.5,5.0,33.23,21.71,21.8,72.2,SUGARCANE,ORTHIDS 
498,Gujarat,Bhavnagar,602.0,65.9,30.6,3.5,32.96,21.45,21.8,72.2,SUGARCANE,ORTHIDS 
499,Gujarat,Bhavnagar,602.0,69.6,26.5,3.9,32.87,21.35,21.8,72.2,SUGARCANE,ORTHIDS 
500,Gujarat,Bhavnagar,602.0,65.6,30.1,4.3,33.86,22.35,21.8,72.2,SUGARCANE,ORTHIDS 
501,Gujarat,Bhavnagar,602.0,65.8,29.1,5.1,33.8,22.34,21.8,72.2,SUGARCANE,ORTHIDS 
502,Gujarat,Valsad,1625.0,56.8,25.1,18.1,32.1,21.49,20.6,73.2,SUGARCANE,VERTIC SOILS 
503,Gujarat,Valsad,1625.0,63.5,20.6,15.9,31.93,21.32,20.6,73.2,SUGARCANE,VERTIC SOILS 
504,Gujarat,Valsad,1625.0,58.9,19.8,21.3,31.84,21.23,20.6,73.2,SUGARCANE,VERTIC SOILS 
505,Gujarat,Valsad,1625.0,59.0,21.9,19.1,32.52,21.91,20.6,73.2,SUGARCANE,VERTIC SOILS 
506,Gujarat,Valsad,1625.0,58.6,19.6,21.9,32.45,22.01,20.6,73.2,SUGARCANE,VERTIC SOILS 
507,Gujarat,Dangs,1212.0,67.4,20.3,12.4,32.1,19.48,20.8,73.6,SUGARCANE,VERTIC SOILS 
508,Gujarat,Dangs,1212.0,67.1,25.9,6.9,31.93,19.31,20.8,73.6,WHEAT,VERTIC SOILS 
509,Gujarat,Dangs,1212.0,69.6,24.5,6.0,31.76,19.14,20.8,73.6,WHEAT,VERTIC SOILS 
510,Gujarat,Dangs,1212.0,48.8,25.5,25.7,32.54,19.92,20.8,73.6,SUGARCANE,VERTIC SOILS 
511,Gujarat,Dangs,1212.0,91.4,8.6,0.0,32.42,20.04,20.8,73.6,SUGARCANE,VERTIC SOILS 
513,Gujarat,Jamnagar,491.0,64.3,31.7,4.0,32.81,20.83,22.5,70.1,WHEAT,ORTHIDS 
514,Gujarat,Jamnagar,491.0,63.2,32.5,4.2,32.74,20.76,22.5,70.1,SUGARCANE,ORTHIDS 
515,Gujarat,Jamnagar,491.0,61.1,33.2,5.7,33.73,21.75,22.5,70.1,SUGARCANE,ORTHIDS 
516,Gujarat,Jamnagar,491.0,65.8,29.8,4.5,33.51,21.67,22.5,70.1,SUGARCANE,ORTHIDS 
517,Gujarat,Junagadh,702.0,61.8,33.0,5.2,31.8,22.69,20.9,70.4,SUGARCANE,ORTHIDS 
518,Gujarat,Junagadh,702.0,64.6,31.2,4.2,31.56,22.44,20.9,70.4,SUGARCANE,ORTHIDS 
519,Gujarat,Junagadh,702.0,66.6,28.8,4.7,31.47,22.36,20.9,70.4,SUGARCANE,ORTHIDS 
520,Gujarat,Junagadh,702.0,64.3,30.2,5.5,32.28,23.16,20.9,70.4,SUGARCANE,ORTHIDS 
521,Gujarat,Junagadh,702.0,63.2,31.3,5.4,32.42,23.17,20.9,70.4,SUGARCANE,ORTHIDS 
522,Gujarat,Kheda,929.0,81.2,13.0,5.9,34.16,20.82,22.3,73.3,WHEAT,USTALF/USTOLLS 
523,Gujarat,Kheda,929.0,87.2,8.1,4.7,33.64,20.3,22.3,73.3,SUGARCANE,USTALF/USTOLLS 
524,Gujarat,Kheda,929.0,87.8,9.3,2.9,33.52,20.18,22.3,73.3,WHEAT,USTALF/USTOLLS 
525,Gujarat,Kheda,929.0,83.4,12.1,4.5,34.82,21.48,22.3,73.3,WHEAT,USTALF/USTOLLS 
526,Gujarat,Kheda,929.0,84.6,10.8,4.6,34.41,21.42,22.3,73.3,SUGARCANE,USTALF/USTOLLS 
527,Gujarat,Kutch,349.0,76.5,22.5,1.0,34.09,20.11,23.3,69.8,WHEAT,ORTHIDS 
528,Gujarat,Kutch,349.0,80.2,18.4,1.3,33.95,19.98,23.3,69.8,SUGARCANE,ORTHIDS 
529,Gujarat,Kutch,349.0,77.8,20.6,1.5,33.93,19.96,23.3,69.8,WHEAT,ORTHIDS 
530,Gujarat,Kutch,349.0,77.0,20.7,2.3,35.03,21.05,23.3,69.8,SUGARCANE,ORTHIDS 
531,Gujarat,Kutch,349.0,76.1,22.2,1.7,34.53,20.93,23.3,69.8,WHEAT,ORTHIDS 
532,Gujarat,Mehsana,507.0,75.4,20.6,4.0,34.53,20.72,23.8,71.6,WHEAT,USTALF/USTOLLS 
533,Gujarat,Mehsana,507.0,83.0,14.5,2.4,34.08,20.27,23.8,71.6,WHEAT,USTALF/USTOLLS 
534,Gujarat,Mehsana,507.0,82.4,14.6,3.0,33.95,20.14,23.8,71.6,WHEAT,USTALF/USTOLLS 
535,Gujarat,Mehsana,507.0,80.9,14.9,4.2,35.29,21.48,23.8,71.6,WHEAT,USTALF/USTOLLS 
536,Gujarat,Mehsana,507.0,79.6,16.5,4.0,34.68,21.38,23.8,71.6,WHEAT,USTALF/USTOLLS 
537,Gujarat,Panchmahal,833.0,82.1,14.8,3.1,34.02,20.95,22.9,73.8,WHEAT,VERTIC SOILS 
538,Gujarat,Panchmahal,833.0,87.9,10.8,1.3,33.42,20.35,22.9,73.8,WHEAT,VERTIC SOILS 
540,Gujarat,Panchmahal,833.0,85.1,11.8,3.1,34.53,21.46,22.9,73.8,WHEAT,VERTIC SOILS 
541,Gujarat,Panchmahal,833.0,87.9,9.8,2.3,34.2,21.45,22.9,73.8,SUGARCANE,VERTIC SOILS 
542,Gujarat,Rajkot,674.0,63.2,29.9,6.8,33.58,21.3,22.3,70.8,SUGARCANE,VERTIC SOILS 
543,Gujarat,Rajkot,674.0,63.8,29.7,6.4,33.36,21.08,22.3,70.8,WHEAT,VERTIC SOILS 
544,Gujarat,Rajkot,674.0,68.0,26.2,5.9,33.23,20.95,22.3,70.8,SUGARCANE,VERTIC SOILS 
545,Gujarat,Rajkot,674.0,67.7,25.9,6.3,34.31,22.03,22.3,70.8,SUGARCANE,VERTIC SOILS 
546,Gujarat,Rajkot,674.0,65.2,27.7,7.0,34.15,21.99,22.3,70.8,SUGARCANE,VERTIC SOILS 
547,Gujarat,Sabarkantha,885.0,65.5,22.0,12.5,33.89,20.72,23.5,73.2,WHEAT,VERTIC SOILS 
548,Gujarat,Sabarkantha,885.0,74.0,18.6,7.4,33.34,20.17,23.5,73.2,WHEAT,VERTIC SOILS 
549,Gujarat,Sabarkantha,885.0,71.9,18.8,9.4,33.22,20.05,23.5,73.2,WHEAT,VERTIC SOILS 
550,Gujarat,Sabarkantha,885.0,70.3,19.0,10.7,34.55,21.38,23.5,73.2,GROUNDNUT,VERTIC SOILS 
551,Gujarat,Sabarkantha,885.0,67.8,20.1,12.1,33.97,21.31,23.5,73.2,RICE,VERTIC SOILS 
557,Gujarat,Surendranagar,601.0,73.9,24.2,1.9,34.83,20.73,22.8,71.6,SUGARCANE,USTALF/USTOLLS 
558,Gujarat,Surendranagar,601.0,72.5,26.4,1.1,34.54,20.44,22.8,71.6,WHEAT,USTALF/USTOLLS 
559,Gujarat,Surendranagar,601.0,74.7,23.7,1.6,34.39,20.29,22.8,71.6,SUGARCANE,USTALF/USTOLLS 
560,Gujarat,Surendranagar,601.0,74.6,22.9,2.5,35.74,21.64,22.8,71.6,SUGARCANE,USTALF/USTOLLS 
561,Gujarat,Surendranagar,601.0,72.8,25.4,1.8,35.27,21.55,22.8,71.6,SUGARCANE,USTALF/USTOLLS 
562,Rajasthan,Ajmer,559.0,50.2,42.8,7.0,32.41,19.63,26.5,74.6,SUGARCANE,INCEPTISOLS 
563,Rajasthan,Ajmer,559.0,64.5,32.9,2.6,32.07,19.29,26.5,74.6,SUGARCANE,INCEPTISOLS 
564,Rajasthan,Ajmer,559.0,63.6,36.0,0.5,32.05,19.27,26.5,74.6,SUGARCANE,INCEPTISOLS 
565,Rajasthan,Ajmer,559.0,66.0,32.4,1.6,33.08,20.3,26.5,74.6,SUGARCANE,INCEPTISOLS 
566,Rajasthan,Ajmer,559.0,61.0,38.2,0.8,32.66,20.39,26.5,74.6,SUGARCANE,INCEPTISOLS 
567,Rajasthan,Alwar,725.0,66.6,32.3,1.2,31.57,19.16,26.4,76.6,SUGARCANE,INCEPTISOLS 
568,Rajasthan,Alwar,725.0,70.7,28.4,0.9,31.11,19.32,26.4,76.6,SUGARCANE,INCEPTISOLS 
569,Rajasthan,Alwar,725.0,79.8,20.1,0.1,31.47,18.91,26.4,76.6,SUGARCANE,INCEPTISOLS 
570,Rajasthan,Alwar,725.0,71.9,27.4,0.7,31.24,19.05,26.4,76.6,SUGARCANE,INCEPTISOLS 
571,Rajasthan,Alwar,725.0,69.9,28.6,1.5,31.38,19.23,26.4,76.6,SUGARCANE,INCEPTISOLS 
572,Rajasthan,Banswara,938.0,86.7,12.7,0.6,33.66,20.88,23.6,74.5,SUGARCANE,VERTIC SOILS 
573,Rajasthan,Banswara,938.0,85.4,13.7,1.0,32.99,20.2,23.6,74.5,SUGARCANE,VERTIC SOILS 
574,Rajasthan,Banswara,938.0,83.5,15.8,0.7,32.82,20.04,23.6,74.5,SUGARCANE,VERTIC SOILS 
575,Rajasthan,Banswara,938.0,84.9,14.2,0.9,34.2,21.41,23.6,74.5,SUGARCANE,VERTIC SOILS 
576,Rajasthan,Banswara,938.0,81.8,16.7,1.4,33.76,21.42,23.6,74.5,SUGARCANE,VERTIC SOILS 
577,Rajasthan,Barmer,311.0,78.0,21.4,0.6,34.46,20.59,25.8,71.4,BARLEY,PSAMMENTS 
578,Rajasthan,Barmer,311.0,80.2,18.8,1.0,33.97,20.1,25.8,71.4,BARLEY,PSAMMENTS 
579,Rajasthan,Barmer,311.0,93.3,6.4,0.2,34.22,20.35,25.8,71.4,GROUNDNUT,PSAMMENTS 
580,Rajasthan,Barmer,311.0,88.7,10.5,0.7,35.29,21.42,25.8,71.4,BARLEY,PSAMMENTS 
581,Rajasthan,Barmer,311.0,84.2,14.6,1.2,34.56,21.36,25.8,71.4,BARLEY,PSAMMENTS 
582,Rajasthan,Bharatpur,722.0,65.2,33.6,1.1,32.01,19.82,26.7,77.9,SUGARCANE,INCEPTISOLS 
583,Rajasthan,Bharatpur,722.0,73.2,25.7,1.1,31.6,20.03,26.7,77.9,SUGARCANE,INCEPTISOLS 
584,Rajasthan,Bharatpur,722.0,80.1,19.9,0.0,31.87,19.53,26.7,77.9,SUGARCANE,INCEPTISOLS 
585,Rajasthan,Bharatpur,722.0,76.6,23.2,0.3,31.68,19.71,26.7,77.9,SUGARCANE,INCEPTISOLS 
586,Rajasthan,Bharatpur,722.0,75.4,24.3,0.3,31.86,19.88,26.7,77.9,SUGARCANE,INCEPTISOLS 
587,Rajasthan,Bhilwara,658.0,70.1,27.4,2.5,32.42,19.9,25.6,74.9,SUGARCANE,VERTIC SOILS 
588,Rajasthan,Bhilwara,658.0,74.4,22.7,2.9,32.01,19.48,25.6,74.9,SUGARCANE,VERTIC SOILS 
589,Rajasthan,Bhilwara,658.0,76.2,22.8,1.0,31.88,19.35,25.6,74.9,SUGARCANE,VERTIC SOILS 
590,Rajasthan,Bhilwara,658.0,73.0,25.1,1.9,33.22,20.69,25.6,74.9,SUGARCANE,VERTIC SOILS 
591,Rajasthan,Bhilwara,658.0,71.4,27.5,1.1,32.68,20.74,25.6,74.9,SUGARCANE,VERTIC SOILS 
592,Rajasthan,Bikaner,307.0,67.2,30.2,2.6,33.85,19.59,28.0,73.3,SUGARCANE,PSAMMENTS 
593,Rajasthan,Bikaner,307.0,71.8,27.9,0.3,33.4,19.23,28.0,73.3,WHEAT,PSAMMENTS 
594,Rajasthan,Bikaner,307.0,74.1,25.7,0.2,33.82,19.53,28.0,73.3,WHEAT,PSAMMENTS 
595,Rajasthan,Bikaner,307.0,72.8,26.8,0.4,33.96,19.73,28.0,73.3,GROUNDNUT,PSAMMENTS 
596,Rajasthan,Bikaner,307.0,70.7,29.1,0.2,33.56,19.84,28.0,73.3,WHEAT,PSAMMENTS 
597,Rajasthan,Bundi,768.0,68.3,29.8,1.9,32.96,20.27,25.6,75.7,SUGARCANE,VERTIC SOILS 
598,Rajasthan,Bundi,768.0,72.3,26.3,1.4,32.63,19.95,25.6,75.7,SUGARCANE,VERTIC SOILS 
599,Rajasthan,Bundi,768.0,78.3,21.6,0.2,32.4,19.72,25.6,75.7,SUGARCANE,VERTIC SOILS 
600,Rajasthan,Bundi,768.0,76.1,23.6,0.4,33.75,21.07,25.6,75.7,SUGARCANE,VERTIC SOILS 
601,Rajasthan,Bundi,768.0,70.6,29.0,0.4,33.22,21.17,25.6,75.7,SUGARCANE,VERTIC SOILS 
602,Rajasthan,Chittorgarh,885.0,70.6,26.3,3.1,32.45,19.8,24.8,75.5,SUGARCANE,VERTIC SOILS 
603,Rajasthan,Chittorgarh,885.0,73.9,24.1,2.1,31.96,19.32,24.8,75.5,SUGARCANE,VERTIC SOILS 
604,Rajasthan,Chittorgarh,885.0,75.3,23.6,1.1,31.77,19.12,24.8,75.5,SUGARCANE,VERTIC SOILS 
605,Rajasthan,Chittorgarh,885.0,73.3,25.1,1.6,33.16,20.52,24.8,75.5,SUGARCANE,VERTIC SOILS 
606,Rajasthan,Chittorgarh,885.0,63.4,35.3,1.3,32.65,20.55,24.8,75.5,SUGARCANE,VERTIC SOILS 
607,Rajasthan,Churu,346.0,71.6,27.4,1.0,33.05,19.08,28.4,74.4,GROUNDNUT,PSAMMENTS 
608,Rajasthan,Churu,346.0,76.6,22.6,0.8,32.51,19.05,28.4,74.4,BARLEY,PSAMMENTS 
609,Rajasthan,Churu,346.0,78.8,21.2,0.0,33.04,18.94,28.4,74.4,BARLEY,PSAMMENTS 
610,Rajasthan,Churu,346.0,79.4,20.5,0.1,32.77,18.98,28.4,74.4,GROUNDNUT,PSAMMENTS 
611,Rajasthan,Churu,346.0,76.6,23.2,0.3,32.79,19.15,28.4,74.4,BARLEY,PSAMMENTS 
612,Rajasthan,Dungarpur,715.0,78.2,20.5,1.2,33.99,20.98,23.8,73.9,SUGARCANE,VERTIC SOILS 
613,Rajasthan,Dungarpur,715.0,78.5,18.0,3.5,33.29,20.28,23.8,73.9,SUGARCANE,VERTIC SOILS 
614,Rajasthan,Dungarpur,715.0,78.1,20.8,1.1,33.19,20.19,23.8,73.9,SUGARCANE,VERTIC SOILS 
615,Rajasthan,Dungarpur,715.0,80.6,18.1,1.3,34.52,21.51,23.8,73.9,SUGARCANE,VERTIC SOILS 
616,Rajasthan,Dungarpur,715.0,84.5,14.2,1.2,34.01,21.48,23.8,73.9,SUGARCANE,VERTIC SOILS 
617,Rajasthan,Ganganagar,300.0,66.4,31.7,1.9,33.28,18.97,29.9,73.9,SUGARCANE,PSAMMENTS 
618,Rajasthan,Ganganagar,300.0,72.9,25.8,1.3,32.63,18.84,29.9,73.9,SUGARCANE,PSAMMENTS 
619,Rajasthan,Ganganagar,300.0,76.9,23.0,0.0,33.29,18.86,29.9,73.9,SUGARCANE,PSAMMENTS 
620,Rajasthan,Ganganagar,300.0,76.9,22.3,0.8,32.93,18.81,29.9,73.9,SUGARCANE,PSAMMENTS 
621,Rajasthan,Ganganagar,300.0,66.4,32.9,0.7,32.86,18.98,29.9,73.9,SUGARCANE,PSAMMENTS 
622,Rajasthan,Jaipur,647.0,65.5,30.9,3.6,32.04,19.04,26.9,75.8,SUGARCANE,INCEPTISOLS 
623,Rajasthan,Jaipur,647.0,72.1,25.2,2.7,31.67,18.99,26.9,75.8,SUGARCANE,INCEPTISOLS 
624,Rajasthan,Jaipur,647.0,77.4,21.9,0.6,31.86,18.78,26.9,75.8,SUGARCANE,INCEPTISOLS 
625,Rajasthan,Jaipur,647.0,71.5,27.8,0.7,31.82,18.93,26.9,75.8,SUGARCANE,INCEPTISOLS 
626,Rajasthan,Jaipur,647.0,67.9,31.6,0.5,32.01,19.08,26.9,75.8,SUGARCANE,INCEPTISOLS 
627,Rajasthan,Jaisalmer,218.0,77.9,21.5,0.6,34.72,19.99,26.9,70.9,BARLEY,PSAMMENTS 
628,Rajasthan,Jaisalmer,218.0,74.9,24.4,0.7,34.25,19.52,26.9,70.9,BARLEY,PSAMMENTS 
629,Rajasthan,Jaisalmer,218.0,76.3,23.5,0.2,34.85,20.12,26.9,70.9,BARLEY,PSAMMENTS 
630,Rajasthan,Jaisalmer,218.0,75.6,22.9,1.5,35.52,20.79,26.9,70.9,BARLEY,PSAMMENTS 
631,Rajasthan,Jaisalmer,218.0,74.1,25.6,0.3,34.53,20.77,26.9,70.9,BARLEY,PSAMMENTS 
632,Rajasthan,Jalore,892.0,79.9,19.4,0.7,34.42,20.91,25.1,72.2,BARLEY,PSAMMENTS 
634,Rajasthan,Jalore,892.0,88.2,10.0,1.9,33.93,20.41,25.1,72.2,BARLEY,PSAMMENTS 
635,Rajasthan,Jalore,892.0,85.2,12.2,2.6,35.24,21.72,25.1,72.2,BARLEY,PSAMMENTS 
636,Rajasthan,Jalore,892.0,83.6,14.0,2.4,34.58,21.67,25.1,72.2,BARLEY,PSAMMENTS 
637,Rajasthan,Jhalawar,1024.0,57.3,41.3,1.4,33.26,19.94,24.5,76.2,SUGARCANE,VERTIC SOILS 
638,Rajasthan,Jhalawar,1024.0,63.5,35.6,0.9,32.89,19.57,24.5,76.2,SUGARCANE,VERTIC SOILS 
639,Rajasthan,Jhalawar,1024.0,71.6,28.3,0.1,32.55,19.23,24.5,76.2,SUGARCANE,VERTIC SOILS 
640,Rajasthan,Jhalawar,1024.0,69.8,29.4,0.8,33.99,20.67,24.5,76.2,SUGARCANE,VERTIC SOILS 
641,Rajasthan,Jhalawar,1024.0,62.9,36.5,0.5,33.43,20.78,24.5,76.2,SUGARCANE,VERTIC SOILS 
642,Rajasthan,Jhunjhunu,423.0,76.3,22.8,1.0,32.03,18.53,28.1,75.5,WHEAT,INCEPTISOLS 
643,Rajasthan,Jhunjhunu,423.0,80.3,18.7,1.1,31.51,18.63,28.1,75.5,WHEAT,INCEPTISOLS 
644,Rajasthan,Jhunjhunu,423.0,82.7,17.2,0.1,32.0,18.36,28.1,75.5,WHEAT,INCEPTISOLS 
645,Rajasthan,Jhunjhunu,423.0,85.1,14.5,0.4,31.7,18.42,28.1,75.5,WHEAT,INCEPTISOLS 
646,Rajasthan,Jhunjhunu,423.0,87.8,11.8,0.3,31.79,18.6,28.1,75.5,SUGARCANE,INCEPTISOLS 
647,Rajasthan,Jodhpur,380.0,60.5,37.7,1.8,33.58,20.0,26.3,73.1,BARLEY,PSAMMENTS 
648,Rajasthan,Jodhpur,380.0,67.9,29.5,2.6,33.07,19.49,26.3,73.1,BARLEY,PSAMMENTS 
649,Rajasthan,Jodhpur,380.0,67.9,31.6,0.5,33.35,19.77,26.3,73.1,BARLEY,PSAMMENTS 
650,Rajasthan,Jodhpur,380.0,68.0,30.4,1.6,34.25,20.67,26.3,73.1,BARLEY,PSAMMENTS 
651,Rajasthan,Jodhpur,380.0,66.6,32.3,1.0,33.51,20.7,26.3,73.1,SUGARCANE,PSAMMENTS 
652,Rajasthan,Kota,842.0,63.6,34.6,1.8,33.13,20.12,25.2,75.9,SUGARCANE,VERTIC SOILS 
653,Rajasthan,Kota,842.0,64.7,33.9,1.3,32.8,19.79,25.2,75.9,SUGARCANE,VERTIC SOILS 
654,Rajasthan,Kota,842.0,73.4,26.1,0.4,32.52,19.51,25.2,75.9,SUGARCANE,VERTIC SOILS 
655,Rajasthan,Kota,842.0,67.4,31.6,1.0,33.86,20.85,25.2,75.9,SUGARCANE,VERTIC SOILS 
656,Rajasthan,Kota,842.0,58.8,40.0,1.2,33.36,20.96,25.2,75.9,SUGARCANE,VERTIC SOILS 
657,Rajasthan,Nagaur,409.0,59.2,37.7,3.1,32.86,19.34,27.0,74.0,WHEAT,PSAMMENTS 
658,Rajasthan,Nagaur,409.0,66.6,31.0,2.4,32.48,19.0,27.0,74.0,WHEAT,PSAMMENTS 
659,Rajasthan,Nagaur,409.0,65.7,33.7,0.7,32.68,19.14,27.0,74.0,BARLEY,PSAMMENTS 
660,Rajasthan,Nagaur,409.0,65.6,32.4,2.0,33.18,19.67,27.0,74.0,BARLEY,PSAMMENTS 
661,Rajasthan,Nagaur,409.0,64.6,34.4,0.9,32.9,19.77,27.0,74.0,WHEAT,PSAMMENTS 
662,Rajasthan,Pali,401.0,66.1,31.8,2.1,33.33,20.44,25.7,73.6,BARLEY,PSAMMENTS 
663,Rajasthan,Pali,401.0,62.9,35.3,1.8,32.87,19.97,25.7,73.6,BARLEY,PSAMMENTS 
664,Rajasthan,Pali,401.0,71.5,27.4,1.0,32.87,19.97,25.7,73.6,BARLEY,PSAMMENTS 
665,Rajasthan,Pali,401.0,65.7,33.1,1.3,34.14,21.24,25.7,73.6,BARLEY,PSAMMENTS 
666,Rajasthan,Pali,401.0,64.9,33.9,1.1,33.55,21.26,25.7,73.6,BARLEY,PSAMMENTS 
